Κινήσεις Κάρτας;;;;;
Αριθμός κάρτας;****	;;;;
16/09/2024 00:00;**********;Ιατρικές/Φαρμακευτικές δαπάνες;Αγορά;-171,27;Εκτελεσμένη
14/09/2024 00:00;**********;Αφορά ηλεκτρονικές μεταφορές/πληρωμές;Αγορά;-105,43;Εκτελεσμένη
12/09/2024 00:00;**********;Τηλεπικοινωνίες;Αγορά;-184,96;Εκτελεσμένη
03/09/2024 00:00;**********;Supermarket / Διατροφή;Αγορά;-36,57;Εκτελεσμένη
03/09/2024 00:00;**********;Supermarket / Διατροφή;Αγορά;-134,53;Εκτελεσμένη
03/09/2024 00:00;**********;Supermarket / Διατροφή;Αγορά;-55,52;Εκτελεσμένη
03/09/2024 00:00;**********;Ένδυση / Υπόδηση;Αγορά;-14,07;Εκτελεσμένη
30/08/2024 00:00;**********;Είδη Σπιτιού / Πολυκαταστήματα;Αγορά;-223,32;Εκτελεσμένη
30/08/2024 00:00;**********;Ιατρικές/Φαρμακευτικές δαπάνες;Αγορά;-147,78;Εκτελεσμένη
28/08/2024 00:00;**********;Εστίαση / Ταξίδια / Ψυχαγωγία;Αγορά;-207,94;Εκτελεσμένη
26/08/2024 00:00;**********;Supermarket / Διατροφή;Αγορά;-146,33;Εκτελεσμένη
19/08/2024 00:00;**********;Ιατρικές/Φαρμακευτικές δαπάνες;Αγορά;-89,13;Εκτελεσμένη
17/08/2024 00:00;**********;Είδη Σπιτιού / Πολυκαταστήματα;Αγορά;-68,74;Εκτελεσμένη
17/08/2024 00:00;**********;Καύσιμα;Αγορά;-153,12;Εκτελεσμένη
16/08/2024 00:00;**********;Ένδυση / Υπόδηση;Αγορά;-130,94;Εκτελεσμένη
15/08/2024 00:00;**********;Ένδυση / Υπόδηση;Αγορά;-187,53;Εκτελεσμένη
12/08/2024 00:00;**********;Αφορά ηλεκτρονικές μεταφορές/πληρωμές;Αγορά;-95,92;Εκτελεσμένη
07/08/2024 00:00;**********;Είδη Σπιτιού / Πολυκαταστήματα;Αγορά;-32,01;Εκτελεσμένη
07/08/2024 00:00;**********;Είδη Σπιτιού / Πολυκαταστήματα;Αγορά;-210,95;Εκτελεσμένη
05/08/2024 00:00;**********;Αφορά ηλεκτρονικές μεταφορές/πληρωμές;Αγορά;-9,92;Εκτελεσμένη
02/08/2024 00:00;**********;Καύσιμα;Αγορά;-218,40;Εκτελεσμένη
01/08/2024 00:00;**********;Αφορά ηλεκτρονικές μεταφορές/πληρωμές;Αγορά;-8,64;Εκτελεσμένη
31/07/2024 00:00;**********;Τηλεπικοινωνίες;Αγορά;-48,61;Εκτελεσμένη
29/07/2024 00:00;**********;Είδη Σπιτιού / Πολυκαταστήματα;Αγορά;-28,06;Εκτελεσμένη
28/07/2024 00:00;**********;Λοιπές δαπάνες και πληρωμές;Αγορά;-91,41;Εκτελεσμένη
25/07/2024 00:00;**********;Supermarket / Διατροφή;Αγορά;-24,77;Εκτελεσμένη
18/07/2024 00:00;**********;Αφορά ηλεκτρονικές μεταφορές/πληρωμές;Αγορά;-35,08;Εκτελεσμένη
17/07/2024 00:00;**********;Ιατρικές/Φαρμακευτικές δαπάνες;Αγορά;-28,90;Εκτελεσμένη
15/07/2024 00:00;**********;Εστίαση / Ταξίδια / Ψυχαγωγία;Αγορά;-152,36;Εκτελεσμένη
13/07/2024 00:00;**********;Ένδυση / Υπόδηση;Αγορά;-131,10;Εκτελεσμένη
09/07/2024 00:00;**********;Λοιπές δαπάνες και πληρωμές;Αγορά;-114,34;Εκτελεσμένη
03/07/2024 00:00;**********;Ένδυση / Υπόδηση;Αγορά;-133,22;Εκτελεσμένη
29/06/2024 00:00;**********;Αφορά ηλεκτρονικές μεταφορές/πληρωμές;Αγορά;-5,90;Εκτελεσμένη
25/06/2024 00:00;**********;Καύσιμα;Αγορά;-48,44;Εκτελεσμένη
20/06/2024 00:00;**********;Αφορά ηλεκτρονικές μεταφορές/πληρωμές;Αγορά;-20,54;Εκτελεσμένη
20/06/2024 00:00;**********;Αφορά ηλεκτρονικές μεταφορές/πληρωμές;Αγορά;-114,98;Εκτελεσμένη
18/06/2024 00:00;**********;Λοιπές δαπάνες και πληρωμές;Αγορά;-70,51;Εκτελεσμένη
15/06/2024 00:00;**********;Καύσιμα;Αγορά;-159,25;Εκτελεσμένη
09/06/2024 00:00;**********;Λοιπές δαπάνες και πληρωμές;Αγορά;-67,83;Εκτελεσμένη
07/06/2024 00:00;**********;Ένδυση / Υπόδηση;Αγορά;-221,59;Εκτελεσμένη
06/06/2024 00:00;**********;Εστίαση / Ταξίδια / Ψυχαγωγία;Αγορά;-10,61;Εκτελεσμένη
05/06/2024 00:00;**********;Είδη Σπιτιού / Πολυκαταστήματα;Αγορά;-148,51;Εκτελεσμένη
04/06/2024 00:00;**********;Είδη Σπιτιού / Πολυκαταστήματα;Αγορά;-177,86;Εκτελεσμένη
01/06/2024 00:00;**********;Ιατρικές/Φαρμακευτικές δαπάνες;Αγορά;-151,96;Εκτελεσμένη
31/05/2024 00:00;**********;Ένδυση / Υπόδηση;Αγορά;-204,75;Εκτελεσμένη
30/05/2024 00:00;**********;Είδη Σπιτιού / Πολυκαταστήματα;Αγορά;-78,74;Εκτελεσμένη
26/05/2024 00:00;**********;Ηλεκτρικά / Ηλεκτρονικά;Αγορά;-170,70;Εκτελεσμένη
25/05/2024 00:00;**********;Είδη Σπιτιού / Πολυκαταστήματα;Αγορά;-77,67;Εκτελεσμένη
23/05/2024 00:00;**********;Supermarket / Διατροφή;Αγορά;-35,78;Εκτελεσμένη
23/05/2024 00:00;**********;Λοιπές δαπάνες και πληρωμές;Αγορά;-120,81;Εκτελεσμένη
22/05/2024 00:00;**********;Supermarket / Διατροφή;Αγορά;-172,43;Εκτελεσμένη
15/05/2024 00:00;**********;Αφορά ηλεκτρονικές μεταφορές/πληρωμές;Αγορά;-146,23;Εκτελεσμένη
13/05/2024 00:00;**********;Ιατρικές/Φαρμακευτικές δαπάνες;Αγορά;-33,90;Εκτελεσμένη
10/05/2024 00:00;**********;Supermarket / Διατροφή;Αγορά;-55,10;Εκτελεσμένη
09/05/2024 00:00;**********;Αφορά ηλεκτρονικές μεταφορές/πληρωμές;Αγορά;-61,39;Εκτελεσμένη
09/05/2024 00:00;**********;Αφορά ηλεκτρονικές μεταφορές/πληρωμές;Αγορά;-63,71;Εκτελεσμένη
07/05/2024 00:00;**********;Ένδυση / Υπόδηση;Αγορά;-20,27;Εκτελεσμένη
07/05/2024 00:00;**********;Εστίαση / Ταξίδια / Ψυχαγωγία;Αγορά;-220,80;Εκτελεσμένη
06/05/2024 00:00;**********;Ηλεκτρικά / Ηλεκτρονικά;Αγορά;-85,54;Εκτελεσμένη
04/05/2024 00:00;**********;Αφορά ηλεκτρονικές μεταφορές/πληρωμές;Αγορά;-65,06;Εκτελεσμένη
29/04/2024 00:00;**********;Ιατρικές/Φαρμακευτικές δαπάνες;Αγορά;-195,38;Εκτελεσμένη
27/04/2024 00:00;**********;Ιατρικές/Φαρμακευτικές δαπάνες;Αγορά;-210,12;Εκτελεσμένη
27/04/2024 00:00;**********;Ιατρικές/Φαρμακευτικές δαπάνες;Αγορά;-43,45;Εκτελεσμένη
25/04/2024 00:00;**********;Αφορά ηλεκτρονικές μεταφορές/πληρωμές;Αγορά;-158,64;Εκτελεσμένη
25/04/2024 00:00;**********;Είδη Σπιτιού / Πολυκαταστήματα;Αγορά;-102,07;Εκτελεσμένη
22/04/2024 00:00;**********;Είδη Σπιτιού / Πολυκαταστήματα;Αγορά;-134,34;Εκτελεσμένη
17/04/2024 00:00;**********;Ηλεκτρικά / Ηλεκτρονικά;Αγορά;-65,34;Εκτελεσμένη
15/04/2024 00:00;**********;Εστίαση / Ταξίδια / Ψυχαγωγία;Αγορά;-163,09;Εκτελεσμένη
14/04/2024 00:00;**********;Λοιπές δαπάνες και πληρωμές;Αγορά;-55,64;Εκτελεσμένη
12/04/2024 00:00;**********;Ιατρικές/Φαρμακευτικές δαπάνες;Αγορά;-10,71;Εκτελεσμένη
10/04/2024 00:00;**********;Καύσιμα;Αγορά;-75,39;Εκτελεσμένη
09/04/2024 00:00;**********;Ένδυση / Υπόδηση;Αγορά;-129,39;Εκτελεσμένη
07/04/2024 00:00;**********;Είδη Σπιτιού / Πολυκαταστήματα;Αγορά;-82,92;Εκτελεσμένη
04/04/2024 00:00;**********;Καύσιμα;Αγορά;-27,30;Εκτελεσμένη
03/04/2024 00:00;**********;Ηλεκτρικά / Ηλεκτρονικά;Αγορά;-75,49;Εκτελεσμένη
01/04/2024 00:00;**********;Τηλεπικοινωνίες;Αγορά;-144,55;Εκτελεσμένη
29/03/2024 00:00;**********;Ένδυση / Υπόδηση;Αγορά;-34,01;Εκτελεσμένη
29/03/2024 00:00;**********;Είδη Σπιτιού / Πολυκαταστήματα;Αγορά;-154,59;Εκτελεσμένη
28/03/2024 00:00;**********;Ένδυση / Υπόδηση;Αγορά;-85,03;Εκτελεσμένη
25/03/2024 00:00;**********;Είδη Σπιτιού / Πολυκαταστήματα;Αγορά;-201,76;Εκτελεσμένη
25/03/2024 00:00;**********;Εστίαση / Ταξίδια / Ψυχαγωγία;Αγορά;-210,14;Εκτελεσμένη
24/03/2024 00:00;**********;Ιατρικές/Φαρμακευτικές δαπάνες;Αγορά;-135,70;Εκτελεσμένη
24/03/2024 00:00;**********;Εστίαση / Ταξίδια / Ψυχαγωγία;Αγορά;-116,34;Εκτελεσμένη
17/03/2024 00:00;**********;Τηλεπικοινωνίες;Αγορά;-19,54;Εκτελεσμένη
12/03/2024 00:00;**********;Αφορά ηλεκτρονικές μεταφορές/πληρωμές;Αγορά;-69,85;Εκτελεσμένη
12/03/2024 00:00;**********;Ένδυση / Υπόδηση;Αγορά;-133,44;Εκτελεσμένη
12/03/2024 00:00;**********;Ηλεκτρικά / Ηλεκτρονικά;Αγορά;-43,22;Εκτελεσμένη
10/03/2024 00:00;**********;Supermarket / Διατροφή;Αγορά;-49,45;Εκτελεσμένη
09/03/2024 00:00;**********;Είδη Σπιτιού / Πολυκαταστήματα;Αγορά;-176,40;Εκτελεσμένη
07/03/2024 00:00;**********;Ιατρικές/Φαρμακευτικές δαπάνες;Αγορά;-58,32;Εκτελεσμένη
06/03/2024 00:00;**********;Τηλεπικοινωνίες;Αγορά;-145,79;Εκτελεσμένη
02/03/2024 00:00;**********;Supermarket / Διατροφή;Αγορά;-109,81;Εκτελεσμένη
02/03/2024 00:00;**********;Supermarket / Διατροφή;Αγορά;-113,83;Εκτελεσμένη
02/03/2024 00:00;**********;Εστίαση / Ταξίδια / Ψυχαγωγία;Αγορά;-218,19;Εκτελεσμένη
29/02/2024 00:00;**********;Καύσιμα;Αγορά;-30,35;Εκτελεσμένη
28/02/2024 00:00;**********;Ηλεκτρικά / Ηλεκτρονικά;Αγορά;-37,39;Εκτελεσμένη
26/02/2024 00:00;**********;Είδη Σπιτιού / Πολυκαταστήματα;Αγορά;-73,31;Εκτελεσμένη
26/02/2024 00:00;**********;Τηλεπικοινωνίες;Αγορά;-230,32;Εκτελεσμένη
25/02/2024 00:00;**********;Ιατρικές/Φαρμακευτικές δαπάνες;Αγορά;-111,15;Εκτελεσμένη
24/02/2024 00:00;**********;Αφορά ηλεκτρονικές μεταφορές/πληρωμές;Αγορά;-202,67;Εκτελεσμένη
23/02/2024 00:00;**********;Ένδυση / Υπόδηση;Αγορά;-78,53;Εκτελεσμένη
22/02/2024 00:00;**********;Καύσιμα;Αγορά;-67,86;Εκτελεσμένη
20/02/2024 00:00;**********;Τηλεπικοινωνίες;Αγορά;-225,00;Εκτελεσμένη
20/02/2024 00:00;**********;Αφορά ηλεκτρονικές μεταφορές/πληρωμές;Αγορά;-178,48;Εκτελεσμένη
16/02/2024 00:00;**********;Λοιπές δαπάνες και πληρωμές;Αγορά;-208,42;Εκτελεσμένη
14/02/2024 00:00;**********;Ένδυση / Υπόδηση;Αγορά;-84,16;Εκτελεσμένη
14/02/2024 00:00;**********;Λοιπές δαπάνες και πληρωμές;Αγορά;-142,61;Εκτελεσμένη
10/02/2024 00:00;**********;Ιατρικές/Φαρμακευτικές δαπάνες;Αγορά;-6,38;Εκτελεσμένη
05/02/2024 00:00;**********;Τηλεπικοινωνίες;Αγορά;-19,84;Εκτελεσμένη
05/02/2024 00:00;**********;Εστίαση / Ταξίδια / Ψυχαγωγία;Αγορά;-223,40;Εκτελεσμένη
04/02/2024 00:00;**********;Ένδυση / Υπόδηση;Αγορά;-128,71;Εκτελεσμένη
03/02/2024 00:00;**********;Supermarket / Διατροφή;Αγορά;-183,52;Εκτελεσμένη
29/01/2024 00:00;**********;Ένδυση / Υπόδηση;Αγορά;-10,03;Εκτελεσμένη
29/01/2024 00:00;**********;Λοιπές δαπάνες και πληρωμές;Αγορά;-30,36;Εκτελεσμένη
27/01/2024 00:00;**********;Τηλεπικοινωνίες;Αγορά;-154,17;Εκτελεσμένη
25/01/2024 00:00;**********;Καύσιμα;Αγορά;-219,36;Εκτελεσμένη
24/01/2024 00:00;**********;Καύσιμα;Αγορά;-195,40;Εκτελεσμένη
24/01/2024 00:00;**********;Supermarket / Διατροφή;Αγορά;-104,12;Εκτελεσμένη
24/01/2024 00:00;**********;Ένδυση / Υπόδηση;Αγορά;-113,58;Εκτελεσμένη
22/01/2024 00:00;**********;Ηλεκτρικά / Ηλεκτρονικά;Αγορά;-177,29;Εκτελεσμένη
15/01/2024 00:00;**********;Είδη Σπιτιού / Πολυκαταστήματα;Αγορά;-157,17;Εκτελεσμένη
14/01/2024 00:00;**********;Ένδυση / Υπόδηση;Αγορά;-179,34;Εκτελεσμένη
07/01/2024 00:00;**********;Είδη Σπιτιού / Πολυκαταστήματα;Αγορά;-164,69;Εκτελεσμένη
06/01/2024 00:00;**********;Supermarket / Διατροφή;Αγορά;-144,54;Εκτελεσμένη
06/01/2024 00:00;**********;Τηλεπικοινωνίες;Αγορά;-62,62;Εκτελεσμένη
05/01/2024 00:00;**********;Εστίαση / Ταξίδια / Ψυχαγωγία;Αγορά;-168,02;Εκτελεσμένη
04/01/2024 00:00;**********;Αφορά ηλεκτρονικές μεταφορές/πληρωμές;Αγορά;-49,87;Εκτελεσμένη
04/01/2024 00:00;**********;Καύσιμα;Αγορά;-141,42;Εκτελεσμένη
03/01/2024 00:00;**********;Ηλεκτρικά / Ηλεκτρονικά;Αγορά;-121,73;Εκτελεσμένη

